Year,Utility ID,Name,Class,Owner,First of Year,Added During Year,Retired During Year,Adjustments Increase or (Decrease),End of Year,Tested During Year,Residential,Commercial,Industrial,Public Authority,Wholesale or Interdepartment or Utility Use,Multifamily,Irrigation,In Stock,Deducted Qty,Total,
2024,10,Abbotsford Municipal Water Utility,D,Muni,923,5,5,0,923,12,692,131,17,24,0,51,0,8,0,923,
2024,20,Adams Municipal Water And Sewer Utility,D,Muni,929,67,67,-3,926,9,653,133,2,9,0,30,0,51,42,926,
2024,30,Adell Municipal Sewer And Water Utility,D,Muni,268,10,10,3,271,10,229,29,3,5,0,0,0,4,0,271,
2024,40,Albany Municipal Water And Sewer Utility,D,Muni,473,0,0,12,485,0,408,42,2,17,0,0,0,13,3,485,
2024,50,Algoma Utility Commission,AB,Muni,1928,216,335,0,1809,263,1391,180,11,21,0,22,0,148,35,1809,
2024,51,Algoma Sanitary District No 1,C,Sani,1455,241,172,0,1524,243,1451,18,0,7,0,0,0,45,0,1524,
2024,60,Allenton Sanitary District No 1,D,Sani,401,0,0,0,401,3,271,22,7,4,0,11,0,86,0,401,
2024,70,Village of Allouez Water Department,AB,Muni,5633,2,10,1,5626,72,5336,189,0,24,0,18,0,59,0,5626,
2024,80,Alma Municipal Water Utility,D,Muni,334,18,0,0,352,0,224,82,2,11,0,0,0,33,0,352,
2024,90,Alma Center Water Utility,D,Muni,324,0,8,0,316,5,184,24,0,12,0,19,0,77,0,316,
2024,100,Almena Municipal Water Utility,D,Muni,399,47,67,0,379,3,281,40,0,9,0,9,0,40,0,379,
2024,120,Altoona Municipal Water And Sewer Utility,C,Muni,5169,38,351,1038,5894,20,3641,245,7,39,0,34,0,799,1129,5894,
2024,140,Amery Municipal Joint Water and Sewer Utility,C,Muni,1532,6,1,-4,1533,100,1002,157,23,59,0,17,0,106,169,1533,
2024,160,Village of Amherst Water Utility,D,Muni,700,91,81,0,710,0,432,61,7,32,0,12,0,11,154,710,
2024,180,Antigo Utilities,AB,Muni,3717,313,242,-5,3783,319,2865,483,33,39,0,95,0,268,0,3783,
2024,190,Appleton Water Department,AB,Muni,29267,170,18,0,29419,514,26261,1757,68,114,0,351,0,777,85,29419,
2024,200,Applewood Hill Water Utility,D,Priv,44,1,0,-2,43,0,41,0,0,0,0,0,0,0,0,43,
2024,210,Arcadia Electric and Water Utility,C,Muni,1428,0,17,0,1411,174,1156,134,27,55,0,11,0,17,0,1411,
2024,220,Arena Municipal Water Utility,D,Muni,471,13,5,-28,451,27,336,17,2,8,0,4,0,28,55,451,
2024,230,Argyle Municipal Electric and Water Utility,C,Muni,420,2,1,-21,400,6,321,47,1,4,0,11,0,16,0,400,
2024,240,Arlington Water Utility,D,Muni,426,208,34,0,600,35,341,33,5,4,0,0,0,215,0,600,
2024,250,Ashland Water Utility,AB,Muni,5439,30,914,-183,4372,18,2519,365,13,48,0,97,0,1202,15,4372,
2024,255,Ashwaubenon Water And Sewer Utility,AB,Muni,7769,1168,1133,0,7804,108,4792,1402,47,44,0,1087,0,432,0,7804,
2024,260,Athens Municipal Water Utility,D,Muni,490,42,37,0,495,0,405,49,4,13,0,11,0,11,2,495,
2024,270,City of Augusta Municipal Water and Sewer Utility,D,Muni,742,1,2,0,741,2,515,50,12,30,0,11,0,115,8,741,
2024,280,Avoca Municipal Water Utility,D,Muni,348,12,3,-36,321,0,293,11,0,8,0,0,0,9,0,321,
2024,310,Bagley Municipal Water Utility,D,Muni,402,25,12,1,416,0,347,17,0,6,0,1,0,28,16,416,
2024,320,Baldwin Municipal Water Utility,C,Muni,1966,818,949,230,2065,58,1821,155,20,26,0,5,0,38,0,2065,
2024,340,Balsam Lake Municipal Water Utility,D,Muni,574,5,8,1,572,13,485,48,7,16,0,13,0,0,3,572,
2024,350,Bangor Municipal Utility,C,Muni,693,1,3,1,692,0,573,44,0,11,0,28,0,17,19,692,
2024,360,City of Baraboo Water Utility,AB,Muni,5077,100,30,0,5147,145,4473,448,36,67,0,85,0,38,0,5147,
2024,370,Barneveld Municipal Water Utility,D,Muni,586,3,1,0,588,0,474,38,8,7,0,8,0,53,0,588,
2024,380,Barron Light And Water Utility,C,Muni,1519,97,80,0,1536,42,1081,173,5,37,0,49,0,183,4,1536,
2024,381,Village of Bay City Water Utility,D,Muni,186,11,11,1,187,11,137,14,0,7,0,4,0,25,0,187,
2024,385,Bayfield Water and Sewer Utility,D,Muni,527,15,2,0,540,7,342,136,0,33,0,0,0,29,0,540,
2024,395,Bear Creek Water Utility,D,Muni,163,0,0,2,165,0,135,11,4,4,0,3,0,7,1,165,
2024,400,Beaver Dam Water Utility,AB,Muni,7107,311,423,26,7021,529,6118,546,53,49,0,109,0,63,83,7021,
2024,405,Beaver Brook Sanitary District No 1,D,Sani,94,2,0,0,96,0,69,25,0,2,0,0,0,0,0,96,
2024,410,Belgium Municipal Water Utility,C,Muni,1120,29,2,-1,1146,0,945,51,19,14,0,46,0,23,48,1146,
2024,420,Belleville Municipal Water and Sewer Utility,C,Muni,1237,52,1,55,1343,0,1135,102,5,30,0,16,0,55,0,1343,
2024,430,Bellevue Water Utility,AB,Muni,5009,353,220,0,5142,3,4326,488,1,23,0,208,0,91,0,5142,
2024,440,Belmont Municipal Water And Electric Utility,C,Muni,472,1,0,-3,470,0,376,38,8,14,0,6,0,28,0,470,
2024,455,Beloit Water Utility,AB,Muni,18129,350,282,-16,18181,533,13920,1681,13,25,0,0,418,2124,0,18181,
2024,460,Benton Municipal Electric And Water Utility,C,Muni,508,4,19,44,537,0,403,36,0,6,0,4,0,85,0,537,
2024,480,Berlin Municipal Water And Sewer Utility,C,Muni,2413,48,6,0,2455,39,1842,189,33,19,0,55,0,133,184,2455,
2024,490,Birchwood Municipal Water Utility,D,Muni,297,0,0,0,297,32,224,44,2,8,0,3,0,5,11,297,
2024,500,Birnamwood Municipal Water Utility,D,Muni,308,0,2,0,306,0,214,58,4,10,0,1,0,18,0,306,
2024,510,Biron Municipal Water Utility,D,Muni,434,203,203,0,434,3,353,34,8,6,0,2,0,10,21,434,
