Year,Utility ID,Name,Class,Owner,Size of Meter,First of Year,Added During Year,Retired During Year,Adjustments Increase or (Decrease),End of Year,Tested During Year,Residential,Commercial,Industrial,Public Authority,Wholesale Interdepartment or Utility Use,Multifamily Residential,Irrigation,Wholesale,Inter-D or Utility Use,In Stock and Deduct Meters,Total,
2024,10,Abbotsford Municipal Water Utility,D,Muni,0.750,848,2,4,,846,6,691,99,7,15,,34,,,,,846,
2024,10,Abbotsford Municipal Water Utility,D,Muni,1.000,31,2,1,,32,0,1,18,5,4,,3,,,,1,32,
2024,10,Abbotsford Municipal Water Utility,D,Muni,1.250,1,,,,1,0,,1,,,,,,,,,1,
2024,10,Abbotsford Municipal Water Utility,D,Muni,1.500,15,1,,,16,1,,1,,2,,10,,,,3,16,
2024,10,Abbotsford Municipal Water Utility,D,Muni,2.000,16,,,,16,2,,9,2,2,,3,,,,,16,
2024,10,Abbotsford Municipal Water Utility,D,Muni,3.000,6,,,,6,1,,3,,,,1,,,,2,6,
2024,10,Abbotsford Municipal Water Utility,D,Muni,4.000,4,,,,4,0,,,1,1,,,,,,2,4,
2024,10,Abbotsford Municipal Water Utility,D,Muni,6.000,2,,,,2,2,,,2,,,,,,,,2,
2024,20,Adams Municipal Water And Sewer Utility,D,Muni,0.625,837,60,60,-8,829,0,653,88,,,,9,,,,44,829,
2024,20,Adams Municipal Water And Sewer Utility,D,Muni,1.000,58,7,7,8,66,0,,28,1,5,,19,,,,7,66,
2024,20,Adams Municipal Water And Sewer Utility,D,Muni,1.500,3,,,,3,0,,2,,,,,,,,,3,
2024,20,Adams Municipal Water And Sewer Utility,D,Muni,2.000,17,,,,17,3,,13,,3,,1,,,,,17,
2024,20,Adams Municipal Water And Sewer Utility,D,Muni,3.000,7,,,-1,6,6,,2,,,,1,,3,,,6,
2024,20,Adams Municipal Water And Sewer Utility,D,Muni,4.000,2,,,,2,0,,,1,1,,,,,,,2,
2024,20,Adams Municipal Water And Sewer Utility,D,Muni,6.000,2,,,,2,0,,,,,,,,2,,,2,
2024,20,Adams Municipal Water And Sewer Utility,D,Muni,8.000,3,,,-2,1,0,,,,,,,,1,,,1,
2024,30,Adell Municipal Sewer And Water Utility,D,Muni,0.625,261,10,10,2,263,10,228,27,2,3,,,,,,3,263,
2024,30,Adell Municipal Sewer And Water Utility,D,Muni,1.000,3,,,1,4,0,1,,,2,,,,,,1,4,
