Year,Utility ID,Name,Class,Type,Disconnection Notices End Of Q1,Disconnection Notices End Of Q2,Disconnection Notices End Of Q3,Disconnection Notices End Of Q4,Disconnections End Of Q1,Disconnections End Of Q2,Disconnections End Of Q3,Disconnections End Of Q4,Customers with Arrears End Of Q1,Amount of Arrears End of Q1,Customers with Arrears End Of Q2,Amount of Arrears End of Q2,Customers with Arrears End Of Q3,Amount of Arrears End of Q3,Customers with Arrears End of Q4,Amount of Arrears End of Q4,Added to Tax Roll,Amount Added to Tax Rol,
2024,6700,Wisconsin Rapids Water Works and Lighting Commission,AB,Water,914,925,927,1204,67,76,76,92,875,41957,740,29683,805,39964,1123,59194,41,3462,
2024,6480,Village of Whitefish Bay Water Utility,AB,Water,0,0,0,0,0,0,0,0,913,194046,917,268436,972,337448,902,118438,262,99341,
2024,6420,Weston Water Utility,AB,Water,0,231,478,0,0,0,0,0,1514,136348,1550,128984,1367,140223,1567,93615,219,78437,
2024,6380,City of West Bend Water Utility,AB,Water,0,0,0,0,0,0,0,0,6069,498742,6164,474963,6129,616228,6067,835403,720,359652,
2024,6360,West Allis Municipal Water Utility,AB,Water,139,54,46,0,3,2,6,5,4623,832655,4821,981745,4730,681265,4455,679750,2129,1750872,
2024,6320,Wauwatosa Water Utility,AB,Water,0,0,0,0,0,0,0,0,1841,357901,1885,490089,1875,605312,2751,302671,1058,440899,
2024,6300,Wausau Water Utility,AB,Water,0,0,0,0,0,0,0,0,2685,354371,2415,420184,2875,634998,2702,233632,1212,447136,
2024,6290,Waupun Public Utilities,AB,Water,789,1383,1376,315,13,1,2,17,3690,41768,0,31814,0,31669,0,31095,10,924,
2024,6280,Waupaca Water Utility,AB,Water,229,206,215,224,16,1,9,0,229,19138,206,14677,215,18657,224,14722,49,10692,
2024,6260,Waunakee Water And Light Commission,AB,Water,0,0,0,0,0,0,0,0,305,9830,274,5491,315,7348,355,7747,3,132,
2024,6240,City of Waukesha Water Utility,AB,Water,0,0,0,0,0,0,0,0,2078,800395,2174,1248660,2072,1594755,1654,255455,1279,645427,
2024,6230,Watertown Water Department,AB,Water,0,0,0,19,0,0,0,0,1075,133851,1164,185540,1086,224649,1148,84288,402,135685,
2024,6220,Waterloo Water And Light Commission,AB,Water,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,3272,
2024,6100,Verona Water Utility,AB,Water,0,0,0,0,0,0,0,0,241,19970,265,27900,279,34233,209,12936,108,28483,
2024,5990,Two Rivers Water and Light Utility,AB,Water,1139,3741,5930,6171,0,2,3,3,391,47919,151,10398,170,14012,427,27552,55,27979,
2024,5810,Sun Prairie Utilities,AB,Water,5212,8531,14320,18750,2,195,408,496,1348,758894,778,391067,762,272917,1264,468170,23,10898,
2024,5780,Sturgeon Bay Utilities,AB,Water,655,0,0,0,15,0,0,0,311,9611,284,6933,322,8721,297,11486,31,2321,
2024,5750,Stoughton Water Utility,AB,Water,190,179,188,348,20,8,8,8,628,18604,569,15973,576,17574,584,20396,24,2205,
2024,5690,Stevens Point Municipal Water Utility,AB,Water,743,756,756,269,69,54,64,23,1481,322735,1414,364865,1491,636411,871,363580,255,54767,
2024,5610,Sparta Municipal Water Department,AB,Water,172,141,242,245,0,0,0,0,357,20438,330,16243,448,25217,443,27087,147,23509,
2024,5590,South Milwaukee Water Utility,AB,Water,0,0,0,0,0,0,0,0,1274,225591,1266,282778,1268,349244,1334,162978,598,294708,
2024,5380,Sheboygan Falls Utilities,AB,Water,209,165,179,252,0,0,0,0,209,12833,165,9583,179,11029,252,12157,102,3063,
2024,5370,Sheboygan Water Utility,AB,Water,335,426,295,0,25,22,40,0,1080,54317,1278,77529,1270,96389,1484,76693,1269,131420,
2024,5365,City of Shawano Water and Sewer Utility,AB,Water,837,807,722,754,0,0,1,0,409,15926,442,11228,453,11323,446,14541,35,2242,
2024,5110,River Falls Municipal Utility,AB,Water,0,0,0,0,0,0,0,0,205,110186,138,129573,244,162655,256,123180,11,173,
2024,5105,Ripon Water Utility,AB,Water,145,566,561,0,0,0,0,0,362,31087,345,30205,337,27501,466,40072,0,0,
2024,5050,Rice Lake Municipal Water and Electric Utility,AB,Water,0,2554,2652,817,0,34,23,8,2431,485800,2554,486308,2652,448132,2607,486377,55,9201,
2024,4970,Reedsburg Utility Commission,AB,Water,2532,2455,2396,2585,15,0,1,8,3096,40514,3224,47034,3262,52219,3208,44980,21,529,
2024,4900,Racine Water Works Commission,AB,Water,0,0,0,0,0,0,0,0,11728,1556526,11848,2148966,12108,2718405,12221,961337,6215,2087415,
2024,4780,Port Washington Municipal Water Utility,AB,Water,0,0,0,0,0,0,0,0,800,100000,800,150000,600,150000,800,160205,291,101277,
2024,4740,Plymouth Utilities,AB,Water,46,0,0,375,5,0,0,4,46,27065,0,0,0,0,375,66873,0,0,
2024,4737,Village of Plover Municipal Water Utility,AB,Water,0,0,0,0,0,0,0,0,316,78238,348,110653,364,136259,329,52656,75,52782,
2024,4730,Village of Pleasant Prairie Water Utility,AB,Water,0,0,0,0,0,0,0,0,676,84838,660,82701,710,115539,744,50994,240,69918,
2024,4700,Platteville Water and Sewer Utility,AB,Water,740,830,839,1059,26,21,23,7,241,12600,332,17147,338,18828,270,11411,58,8063,
2024,4625,City of Pewaukee Water Utility,AB,Water,0,0,0,0,0,0,0,0,0,32153,0,39709,0,48213,0,35343,105,57089,
